model:Coolpad+8721 | brand:Coolpad | version:4.4.4
model:IM-A920S | brand:VEGA | version:4.4.2
model:SCH-I869 | brand:samsung | version:4.1.2
model:LG-V400 | brand:lge | version:4.4.2
model:p90hd | brand:TECLAST | version:4.4.2
model:KONKA+P2 | brand:konka | version:4.4.4
model:Lenovo+A5500-HV | brand:Lenovo | version:4.4.2
model:BOWAY+U9 | brand:BOWAY | version:4.4.4
model:GT-I9505 | brand:samsung | version:4.4.2
model:NX505J | brand:nubia | version:4.4.2
model:ChanghongA100 | brand:Changhong | version:4.4.2
model:Coolpad+8712S | brand:Coolpad | version:4.4.4
model:NOAIN+M8 | brand:NOAIN | version:4.4.4
model:A8 | brand:CHONGHANG | version:4.4.3
model:XT1060 | brand:motorola | version:4.4.4
model:Hisense+I635T | brand:Hisense | version:4.4.4
model:M353 | brand:Meizu | version:4.4.4
model:TCL+P331M | brand:TCL | version:4.4.2
model:HTC+Desire+612 | brand:htc | version:4.4.3
model:NC808 | brand:DCLH | version:4.4.4
model:HTC+One_M8 | brand:htc | version:4.4.4
model:m1+note | brand:Meizu | version:4.4.4
model:HTC+One_M8 | brand:htc | version:4.4.3
model:HTC+One_M8 | brand:htc | version:4.4.2
model:%E7%BB%88%E7%BB%93%E8%80%85 | brand:%E7%BB%88%E7%BB%93%E8%80%85 | version:4.4.2
model:HTC_D626x | brand:htc | version:4.4.4
model:PB101 | brand:UnisCom | version:4.4.2
model:MZ67 | brand:UnisCom | version:4.4.2
model:HTC+D820t | brand:htc | version:4.4.4
model:x55t_td | brand:alps | version:4.4.4
model:Coolpad+5316 | brand:Coolpad | version:4.4.4
model:Neolix+1 | brand:qcom | version:4.4.4
model:aoson+mini5 | brand:aoson | version:4.4.2
model:EBEN+T9 | brand:ErenEben | version:4.4.4
model:Coolpad+5313S | brand:Coolpad | version:4.4.4
model:PE-TL10 | brand:Huawei | version:4.4.2
model:HTL23 | brand:htc | version:4.4.2
model:ZUG+5S | brand:MANN | version:4.4.2
model:Coolpad+8732 | brand:Coolpad | version:4.4.2
model:V-P3 | brand:Vokey | version:4.4.2
model:HUAWEI+G6-C00 | brand:Huawei | version:4.3
model:AT218 | brand:MEIGU | version:4.4.4
model:TCL+P501M | brand:TCL | version:4.4.4
model:HUAWEI+MT2-L01 | brand:Huawei | version:4.4.2
model:GN9000 | brand:GiONEE | version:4.4.2
model:Q18 | brand:Malata | version:4.4.2
model:P80s+%E5%9B%9B%E6%A0%B8%28EF6W%29 | brand:Teclast | version:4.4.2
model:COBY | brand:Android | version:4.4.2
model:H60-L02 | brand:Huawei | version:4.4.2
model:HONOR+H30-L01M | brand:Honor | version:4.4.2
model:Coolpad+S6-NT1 | brand:Coolpad | version:4.4.4
model:C03 | brand:Changhong | version:2.9.2
model:MI4 | brand:MI4 | version:4.4.4
model:Lenovo+A338t | brand:Lenovo | version:4.4.2
model:P301 | brand:ETON | version:4.4.4
model:LG-F400L | brand:lge | version:4.4.2
model:BenWee+V6 | brand:BenWee+V6 | version:4.4.4
model:HUAWEI+MT7-TL00 | brand:Huawei | version:4.4.2
model:5C | brand:X3 | version:4.4.2
model:HM+1SLTETD | brand:Xiaomi | version:4.4.2
model:HM+NOTE+1S | brand:Xiaomi | version:4.4.4
model:LG-F320K | brand:lge | version:4.4.2
model:5042T | brand:TCL | version:4.4.4
model:SHV-E300K | brand:samsung | version:4.4.2
model:H60-L12 | brand:Huawei | version:4.4.2
model:U5482 | brand:EBEST | version:4.4.4
model:M6 | brand:GUOMI | version:4.4.2
model:Bird+X5 | brand:Bird | version:4.4.4
model:MI+4C | brand:Xiaomi | version:4.4.2
model:K-Touch+Tou+ch+2c | brand:qcom | version:4.4.2
model:C03 | brand:Changhong | version:3.1.0
model:Coolpad+8690_T00 | brand:Coolpad | version:4.4.2
model:OPSSON+Q3 | brand:OPSSON | version:4.4.4
model:M351 | brand:Meizu | version:4.4.4
model:Kumai+920 | brand:Kumai+920 | version:4.4.4
model:M623C | brand:CMDC | version:4.4.4
model:HUAWEI+P6+S-U06 | brand:Huawei | version:4.4.2
model:Lenovo+A6600 | brand:Lenovo | version:4.4.4
model:MediaPad-10 | brand:%E5%8D%8E%E4%B8%BA | version:4.4.2
model:U65GT | brand:CUBE | version:4.4.2
model:MI+2 | brand:Xiaomi | version:4.4.4
model:C6903 | brand:Sony | version:4.4.2
model:%E3%80%80%E3%80%80 | brand:Coolpad | version:4.4.4
model:N9 | brand:Changhong | version:4.4.2
model:Hisense+E613M | brand:Hisense | version:4.4.4
model:Che2-TL00H | brand:Honor | version:4.4.2
model:vivo+Y27 | brand:vivo | version:4.4.4
model:ZTE+GEEK+II+4G | brand:ZTE | version:4.4.2
model:MI+NOTE+LTE | brand:Xiaomi | version:4.4.4
model:SOL24 | brand:KDDI | version:4.4.2
model:MI+4W | brand:Xiaomi | version:4.4.2
model:Coolpad+7298D | brand:Coolpad | version:4.2.2
